Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,TER,ter_change,ter_rolling_mean_30d,Average AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-12-30,30.7113,0.000687516,0.00068728,0.032541673,0.00034901,0.000712092,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.899,157.3,-1.0069225928256764,-1.899,5.007,,966.54,30.7123,-3.2560244592481495e-05,-0.0018310494613883,30.7123,-3.2560244592481495e-05,0.00015873015873015873,0.0005287858412698413,0.2672119700310816,0.0,0.7752292756291005
2020-12-31,30.7071,-0.000136757,-0.000136767,0.032400465,0.000293012,0.00068029,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.894,157.3,-1.0069225928256764,-1.894,5.007,,966.86,30.7123,-0.0001693132718812508,-0.0018310494613883,30.7123,-0.0001693132718812508,0.00015873015873015873,-0.0002954871587301587,0.19738875989894522,-0.000136757,0.5498179060319325
2021-01-01,30.7137,0.000214934,0.000214911,0.032622363,0.000295139,0.000679931,0.45,0.0,0.45,117715.68,56.58609565005366,56.58609565005366,4.0,,4.25,3.0,5.898,156.3,-0.6357279084551859,-1.898,4.636,,966.18,30.7137,0.0,-0.0018310494613883,30.7137,0.0,0.00015873015873015873,5.620384126984128e-05,0.20062131760773708,0.0,0.5585269391929294
2021-01-04,30.7655,0.001686544,0.001685123,0.034363926,0.000339641,0.000725883,0.45,0.0,0.45,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.858,156.3,-0.6357279084551859,-1.858,4.636,,969.72,30.7655,0.0,-0.0018310494613883,30.7655,0.0,0.00015873015873015873,0.0015278138412698414,0.24922868784860447,0.0,0.7407424054560867
2021-01-05,30.7973,0.001033625,0.001033092,0.035433071,0.000347388,0.000732192,0.45,0.0,0.45,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.85,156.3,-0.6357279084551859,-1.85,4.636,,969.83,30.7973,0.0,-0.0018310494613883,30.7973,0.0,0.00015873015873015873,0.0008748948412698413,0.2576619620113395,0.0,0.7724631582076918
2021-01-06,30.7993,6.49e-05,6.49e-05,0.035500313,0.000333913,0.000733592,0.45,0.0,0.45,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.894,156.3,-0.6357279084551859,-1.894,4.636,,967.81,30.7993,0.0,-0.0018310494613883,30.7993,0.0,0.00015873015873015873,-9.383015873015872e-05,0.238800035620363,0.0,0.7172846567106416
2021-01-07,30.7924,-0.000224031,-0.000224056,0.035268328,0.000306331,0.000738647,0.45,0.0,0.45,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.892,156.3,-0.6357279084551859,-1.892,4.636,,967.42,30.7993,-0.0002240310656410415,-0.0018310494613883,30.7993,-0.0002240310656410415,0.00015873015873015873,-0.0003827611587301587,0.19982461885167133,-0.000224031,0.6063745438788952
2021-01-08,30.8036,0.000363726,0.00036366,0.035644883,0.000287429,0.000729312,0.45,0.0,0.45,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.892,156.3,-0.6357279084551859,-1.892,4.636,,966.27,30.8036,0.0,-0.0018310494613883,30.8036,0.0,0.00015873015873015873,0.00020499584126984125,0.17646359762673525,0.0,0.5287172327321964
2021-01-11,30.7559,-0.00154852,-0.00154972,0.034041165,0.000188441,0.000770501,0.45,0.0,0.45,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.924,156.3,-0.6357279084551859,-1.924,4.636,,963.5,30.8036,-0.0015485203028217146,-0.0018310494613883,30.8036,-0.0015485203028217146,0.00015873015873015873,-0.0017072501587301588,0.038558363274993075,-0.00154852,0.08434442530544098
2021-01-12,30.7514,-0.000146313,-0.000146324,0.033889871,0.000179749,0.000772832,0.45,0.0,0.45,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.931,156.3,-0.6357279084551859,-1.931,4.636,,963.31,30.8036,-0.0016946071238426398,-0.0018310494613883,30.8036,-0.0016946071238426398,0.00015873015873015873,-0.00030504315873015875,0.027195305391320018,-0.000146313,0.059967453378862216
2021-01-13,30.7435,-0.000256899,-0.000256932,0.033624266,0.000202136,0.00074898,0.45,0.0,0.45,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.947,156.3,-0.6357279084551859,-1.947,4.636,,963.51,30.8036,-0.0019510706540793444,-0.0019510706540793444,30.8036,-0.0019510706540793444,0.00015873015873015873,-0.0004156291587301587,0.057951800478497066,-0.000256899,0.1345702355269938
2021-01-14,30.7372,-0.000204921,-0.000204942,0.033412455,0.00020665,0.000746,0.45,0.0,0.45,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.924,156.3,-0.6357279084551859,-1.924,4.636,,964.71,30.8036,-0.0021555922035086167,-0.0021555922035086167,30.8036,-0.0021555922035086167,0.00015873015873015873,-0.00036365115873015873,0.06423409083145624,-0.000204921,0.14923153492632893
2021-01-15,30.7292,-0.000260271,-0.000260305,0.033143487,0.000188372,0.00075064,0.47,0.0444444444444442,0.4506666666666667,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.988,156.3,-0.6357279084551859,-1.988,4.636,,961.72,30.8036,-0.0024153021075458934,-0.0024153021075458934,30.8036,-0.0024153021075458934,0.00015873015873015873,-0.00041900115873015875,0.03948689056595691,-0.000260271,0.09267420454936759
2021-01-18,30.7032,-0.000846101,-0.000846459,0.032269344,0.000101697,0.000712777,0.47,0.0,0.4526666666666666,117715.68,0.0,56.58609565005366,4.0,,4.25,3.0,5.957,156.3,-0.6357279084551859,-1.957,4.636,,963.29,30.8036,-0.003259359295666756,-0.003259359295666756,30.8036,-0.003259359295666756,0.00015873015873015873,-0.0010048311587301587,-0.08001692957633112,-0.000846101,-0.16769807604891784
